1415095743, 20, 96
1415095744, 48, 75
1415095745, 47, 84
1415095746, 43, 36
1415095747, 40, 59
1415095748, 90, 23
1415095749, 16, 9
1415095750, 44, 79
1415095751, 60, 80
1415095752, 74, 70
1415095753, 63, 80
1415095754, 67, 87
1415095755, 88, 22
1415095756, 76, 12
1415095757, 7, 60
1415095758, 33, 23
1415095759, 34, 52
1415095760, 13, 44
1415095761, 77, 22
1415095762, 89, 59
1415095763, 32, 54
1415095764, 43, 56
1415095765, 54, 44
1415095766, 51, 26
1415095767, 36, 91
1415095768, 62, 25
1415095769, 34, 38
1415095770, 82, 61
1415095771, 41, 75
1415095772, 43, 42
1415095773, 55, 46
1415095774, 19, 36
1415095775, 67, 8
1415095776, 57, 70
1415095777, 68, 63
1415095778, 57, 3
1415095779, 9, 71
1415095780, 70, 64
1415095781, 55, 69
1415095782, 48, 50
1415095783, 0, 2
1415095784, 54, 19
1415095785, 42, 9
1415095786, 97, 85
1415095787, 30, 4
1415095788, 94, 55
1415095789, 88, 80
1415095790, 80, 42
1415095791, 66, 13
1415095792, 22, 7
1415095793, 64, 72
1415095794, 46, 46
1415095795, 55, 70
1415095796, 59, 26
1415095797, 62, 13
1415095798, 88, 66
1415095799, 37, 67
1415095800, 12, 29
1415095801, 33, 59
1415095802, 16, 44
1415095803, 78, 49
1415095804, 92, 22
1415095805, 66, 48
1415095806, 63, 21
1415095807, 78, 46
1415095808, 94, 15
1415095809, 62, 29
1415095810, 75, 93
1415095811, 66, 66
1415095812, 91, 15
1415095813, 79, 82
1415095814, 11, 64
1415095815, 13, 74
1415095816, 14, 64
1415095817, 96, 28
1415095818, 66, 39
1415095819, 44, 7
1415095820, 93, 25
1415095821, 26, 52
1415095822, 71, 5
1415095823, 39, 87
1415095824, 88, 22
1415095825, 1, 67
1415095826, 83, 60
1415095827, 3, 68
1415095828, 3, 5
1415095829, 65, 95
1415095830, 81, 30
1415095831, 4, 31
1415095832, 2, 17
1415095833, 77, 98
1415095834, 12, 99
1415095835, 43, 93
1415095836, 55, 96
1415095837, 48, 56
1415095838, 60, 54
1415095839, 30, 85
1415095840, 35, 9
1415095841, 97, 84
1415095842, 78, 36
